country,edu,health,crime,pop,hap_ind,gdppc,log_gdppc,social,life_exp,freedom,generosity
Dominican Republic,5.7,2,10,10847904,5.545,18069.84851,9.802,0.853,66.102,0.86,-0.133
North Cyprus,6.8,5.8,1.3,382836,5.536,39183.06825,10.576,0.82,73.898,0.795,0.012
Belarus,5.6,4.8,2.4,9449321,5.534,19015.31526,9.853,0.91,66.253,0.65,-0.18
Russia,5.3,4.7,8.2,145934460,5.477,26608.87272,10.189,0.903,64.703,0.718,-0.111
Hong Kong S.A.R. of China,1.2,3.8,0.7,7496988,5.477,59874.14172,11,0.836,76.82,0.717,0.067
Tajikistan,6.7,5.2,1.6,9537642,5.466,3264.950889,8.091,0.86,64.281,0.832,-0.056
Vietnam,5.9,4.2,1.4,97338583,5.411,7887.227832,8.973,0.85,68.034,0.94,-0.098
Libya,6.1,2,1.2,6871287,5.41,15093.20618,9.622,0.827,62.3,0.771,-0.087
Malaysia,3.8,4.2,1.5,32365998,5.384,27945.17964,10.238,0.817,67.102,0.895,0.125
Indonesia,2.9,3.6,0.4,273523621,5.345,11672.60591,9.365,0.811,62.236,0.873,0.542
Congo (Brazzaville),2.1,3.5,1.5,89561404,5.342,3350.952792,8.117,0.636,58.221,0.695,-0.068
China,5.4,4.9,0.5,1439323774,5.339,15882.9264,9.673,0.811,69.593,0.904,-0.146
Armenia,10,2.7,1.7,2963234,5.283,13187.1744,9.487,0.799,67.055,0.825,-0.168
Nepal,5.8,5.1,2.3,29136808,5.269,3361.020745,8.12,0.774,64.233,0.782,0.152
Bulgaria,7.3,4.1,1.3,6948445,5.266,22381.72373,10.016,0.931,67,0.788,-0.096
Maldives,9.4,3.7,0.7,540542,5.198,18508.77087,9.826,0.913,70.6,0.854,0.024
Azerbaijan,3.5,2.5,2.2,10139175,5.171,14314.09507,9.569,0.836,65.656,0.814,-0.223
Cameroon,3.5,3.1,1.4,26545864,5.142,3601.119326,8.189,0.71,53.515,0.731,0.026
